database_row,knot,knotinfo_name,dt_name,alternating,crossing_number,input_interval,certified_lower_bound,output_interval,consequence,signature,determinant,seifert_size,algebraic_unknotting_in_workbook,already_implied_by_workbook,kind,field,field_order,prime,specialization,minimal_polynomial,nullity
12704,13n4846,13n_4846,13n_4846,N,13,"[1,2]",2,2,exact u=2,0,165,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12712,13n4854,13n_4854,13n_4854,N,13,"[1,2]",2,2,exact u=2,2,191,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12722,13n4864,13n_4864,13n_4864,N,13,"[1,2]",2,2,exact u=2,-2,275,16,,False,scalar,F_5,5,5,4,x-4,2
12727,13n4869,13n_4869,13n_4869,N,13,"[1,2]",2,2,exact u=2,0,153,28,,False,scalar,F_3,3,3,2,x-2,2
12728,13n4870,13n_4870,13n_4870,N,13,"[1,3]",2,"[2,3]",improved,-2,175,28,,False,scalar,F_5,5,5,4,x-4,2
12732,13n4874,13n_4874,13n_4874,N,13,"[1,2]",2,2,exact u=2,0,145,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12750,13n4892,13n_4892,13n_4892,N,13,"[1,3]",2,"[2,3]",improved,0,245,16,,False,scalar,F_7,7,7,6,x-6,2
12790,13n4932,13n_4932,13n_4932,N,13,"[1,3]",2,"[2,3]",improved,0,217,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12794,13n4936,13n_4936,13n_4936,N,13,"[1,2]",2,2,exact u=2,2,195,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12795,13n4937,13n_4937,13n_4937,N,13,"[1,2]",2,2,exact u=2,0,209,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12796,13n4938,13n_4938,13n_4938,N,13,"[1,2]",2,2,exact u=2,0,189,28,,False,scalar,F_3,3,3,2,x-2,2
12815,13n4957,13n_4957,13n_4957,N,13,"[1,2]",2,2,exact u=2,2,143,10,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
12816,13n4958,13n_4958,13n_4958,N,13,"[1,2]",2,2,exact u=2,0,117,16,,False,scalar,F_7,7,7,2,x-2,2
12861,13n5003,13n_5003,13n_5003,N,13,"[1,2]",2,2,exact u=2,-2,291,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12886,13n5028,13n_5028,13n_5028,N,13,"[1,2]",2,2,exact u=2,-2,183,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12889,13n5031,13n_5031,13n_5031,N,13,"[1,2]",2,2,exact u=2,0,25,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12890,13n5032,13n_5032,13n_5032,N,13,"[1,3]",2,"[2,3]",improved,-2,155,16,,False,quadratic,F_9,9,3,x,x^2+1,2
12891,13n5033,13n_5033,13n_5033,N,13,"[1,2]",2,2,exact u=2,-2,195,16,,False,quadratic,F_9,9,3,x,x^2+1,2
12902,13n5044,13n_5044,13n_5044,N,13,"[1,2]",2,2,exact u=2,0,141,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12905,13n5047,13n_5047,13n_5047,N,13,"[1,2]",2,2,exact u=2,-2,207,16,,False,scalar,F_3,3,3,2,x-2,2
